#TopasInteraction	NON
#TopasWavelength	NaN
#Wavelength(nm)	Intensity
857.9384	0
864.4065	0.0008941212
870.8807	0.0009686312
877.3609	0.0009500037
883.8471	0.0008941212
890.3393	0.001303927
896.8373	0.001117651
903.3411	0.001061769
909.8507	0.0009686312
916.3661	0.001359809
922.8871	0.001117651
929.4138	0.001099024
935.9461	0.0006892184
942.4839	0.001266672
949.0273	0.0008754936
955.576	0.0009500037
962.1302	0.0009313762
968.6897	0.0008941212
975.2546	0.001266672
981.8247	0.0009872588
988.4	0.0009313762
994.9805	0.001043141
1001.566	0.0009686312
1008.157	0.001136279
1014.752	0.000745101
1021.353	0.001266672
1027.959	0.0006892184
1034.569	0.0009127487
1041.184	0.0004843156
1047.804	0.001043141
1054.429	0.0009500037
1061.059	0.0009500037
1067.693	0.0009686312
1074.331	0.001192162
1080.975	0.0006705909
1087.622	0.0008754936
1094.275	0.0008382386
1100.931	0.0009686312
1107.592	0.0008941212
1114.257	0.0009127487
1120.927	0.0007264734
1127.6	0.0009686312
1134.278	0.0009313762
1140.96	0.0007637285
1147.646	0.0004843156
1154.336	0.0009686312
1161.03	0.001266672
1167.728	0.0008009835
1174.43	0.001043141
1181.136	0.0009313762
1187.845	0.0006892184
1194.558	0.001415692
1201.275	0.000745101
1207.995	0.0009313762
1214.719	0.001117651
1221.447	0.0009686312
1228.178	0.0007637285
1234.912	0.0008941212
1241.65	0.0009686312
1248.391	0.001099024
1255.136	0.0009313762
1261.884	0.0009872588
1268.635	0.0008941212
1275.389	0.001043141
1282.146	0.0004656881
1288.906	0.001173534
1295.67	0.0006519633
1302.436	0.001117651
1309.205	0.0008941212
1315.977	0.001210789
1322.752	0.001061769
1329.529	0.0008754936
1336.31	0.0009500037
1343.093	0.0007637285
1349.878	0.0009500037
1356.667	0.0008941212
1363.457	0.001210789
1370.251	0.001043141
1377.046	0.001210789
1383.844	0.0008754936
1390.645	0.0008941212
1397.447	0.001378437
1404.252	0.001117651
1411.059	0.001154906
1417.869	0.001192162
1424.68	0.001099024
1431.493	0.001341182
1438.309	0.001341182
1445.126	0.001639222
1451.946	0.001359809
1458.767	0.001713732
1465.59	0.001248044
1472.414	0.001490202
1479.241	0.001434319
1486.069	0.001527457
1492.899	0.001788242
1499.73	0.001434319
1506.563	0.001415692
1513.397	0.001750987
1520.233	0.001266672
1527.07	0.001825497
1533.909	0.001695105
1540.748	0.001695105
1547.589	0.001490202
1554.432	0.001750987
1561.275	0.00180687
1568.119	0.001844125
1574.965	0.002123538
1581.811	0.00195589
1588.659	0.00210491
1595.507	0.00217942
1602.356	0.002663736
1609.206	0.002496088
1616.057	0.002142165
1622.908	0.002384323
1629.761	0.002719619
1636.613	0.002719619
1643.467	0.002700991
1650.32	0.002607853
1657.175	0.003017659
1664.029	0.002682363
1670.885	0.003073541
1677.74	0.003259817
1684.596	0.003520602
1691.452	0.004265703
1698.308	0.004656881
1705.164	0.004843156
1712.021	0.005886298
1718.877	0.007339244
1725.733	0.008661799
1732.59	0.01207064
1739.446	0.01685791
1746.302	0.02540794
1753.158	0.03786976
1760.014	0.05631101
1766.869	0.08289248
1773.724	0.1193465
1780.579	0.1679085
1787.433	0.2248342
1794.287	0.3013933
1801.14	0.3972133
1807.993	0.4933127
1814.845	0.5924111
1821.696	0.6846733
1828.547	0.7714775
